Марка;Модель;Топливо;Коробка передач;Привод;Ссылка
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1845609.html
Lexus NX 2020;Sport+ 200 AT (150 л.с.) AWD ; Бензин 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-nx-1855884.html
Lexus LX 2020;Black Edition 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1845143.html
Lexus LX 2020;Black Edition 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1853439.html
Lexus NX 2020;Sport+ 200 AT (150 л.с.) AWD ; Бензин 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-nx-1848303.html
Lexus RX 2020;Premium 350 AT (300 л.с.) AWD ; Бензин 3.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1851255.html
Lexus UX 2020;Business+ 250h CVT (177 л.с.) ; Гибрид 2.0 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1851229.html
Lexus NX 2020;Sport+ 200 AT (150 л.с.) AWD ; Бензин 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-nx-1848591.html
Lexus LX 2020;Black Edition 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1837610.html
Lexus LX 2021;Sport 570 AT (367 л.с.) ; Бензин 5.7 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1856609.html
Lexus UX 2020;Ginza 250h CVT (184 л.с.) ; Гибрид ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1853464.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1856384.html
Lexus UX 2020;Business+ 250h CVT (146 л.с.) ; Гибрид 2.0 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1855994.html
Lexus NX 2020;Sport+ 200 AT (150 л.с.) AWD ; Бензин 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-nx-1840486.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1854027.html
Lexus NX 2020;Sport+ 200 AT (150 л.с.) AWD ; Бензин 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-nx-1855854.html
Lexus UX 2020;Ginza 250h CVT (184 л.с.) ; Гибрид ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1854024.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1856395.html
Lexus NX 2020;Sport+ 200 AT (150 л.с.) AWD ; Бензин 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-nx-1855840.html
Lexus UX 2020;Business+ 250h CVT (177 л.с.) ; Гибрид 2.0 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1850752.html
Lexus RX 2020;Premium 450h E-CVT (313 л.с.) AWD ; Гибрид 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1850549.html
Lexus LX 2020;Luxury 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1853069.html
Lexus ES 2020;Miyata 250 AT (207 л.с.) ; Бензин 2.5 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-es-1852447.html
Lexus RX 2020;Premium 350L AT (294 л.с.) AWD ; Бензин 3.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1855084.html
Lexus GX 2020;Luxury 460 AT (296 л.с.) ; Бензин 4.6 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-gx-1850546.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1855008.html
